divergence,length,pred_hw,n_doublings_neural,n_doublings_fixed30,n_doublings_fixed100,t_neural_ms,t_fixed30_ms,t_fixed100_ms,speedup_vs_30,speedup_vs_100,score_neural,score_fixed100,score_match
0.05,939,8,0,0,0,0.7972999883349985,4.789800004800782,14.189800000167452,6.007525492134172,17.79731620189787,847.0,847.0,True
0.05,369,6,0,0,0,0.22820000594947487,1.5765999996801838,4.311199998483062,6.908851702787661,18.89219932552321,333.0,333.0,True
0.05,383,6,0,0,0,0.22539999918080866,1.6673000063747168,4.5343999954639,7.397071927392786,20.117125163902728,345.0,345.0,True
0.05,654,7,0,0,0,0.5063999997219071,3.0083000019658357,8.682200001203455,5.940560828629272,17.144944719532667,590.0,590.0,True
0.05,788,7,0,0,0,0.5906000005779788,3.9773000025888905,9.957899994333275,6.7343379591882595,16.860650160156073,710.0,710.0,True
0.05,783,7,0,0,0,0.5868000007467344,4.089099995326251,11.64019999851007,6.968473057468732,19.83674162184269,705.0,705.0,True
0.05,937,7,0,0,0,0.5486999871209264,3.7717000086558983,11.267100009717979,6.873883902287507,20.534172178201374,845.0,845.0,True
0.05,866,7,0,0,0,0.5120999994687736,3.511400005663745,10.329100012313575,6.856863911943551,20.170084012943676,780.0,780.0,True
0.1,910,9,0,0,0,0.6719000084558502,3.908300001057796,11.033200004021637,5.816788140901782,16.42089576599048,728.0,728.0,True
0.1,326,7,0,0,0,0.2275000006193295,1.4118000108283013,4.043200009618886,6.205714316417228,17.772307686206467,262.0,262.0,True
0.1,888,9,0,0,0,0.8201999880839139,4.569400000036694,15.12860000366345,5.571080305318418,18.445013683803733,712.0,712.0,True
0.1,345,7,0,0,0,0.29940000968053937,1.7582000000402331,4.789800004800782,5.872411299906895,15.997995490753361,277.0,277.0,True
0.1,320,7,0,0,0,0.2573000092525035,1.6460000042570755,3.9496999961556867,6.397201496567999,15.35056297755363,256.0,256.0,True
0.1,449,7,0,0,0,0.3476000129012391,2.0480000093812123,5.743900008383207,5.891829497610217,16.524452805515796,361.0,361.0,True
0.1,759,8,0,0,0,0.6367999885696918,3.860199998598546,11.179900000570342,6.0618719659039115,17.556375944166348,609.0,609.0,True
0.1,994,9,0,0,0,0.9212000004481524,5.119099994772114,15.038900004583411,5.556990873080476,16.325336514619163,796.0,796.0,True
0.1,674,8,0,0,0,0.5738000036217272,3.4925000072689727,10.128900001291186,6.086615519736688,17.652317771626535,540.0,540.0,True
0.1,998,9,0,0,0,0.89490000391379,5.126199990627356,15.96790000621695,5.728237756406567,17.843222635358504,800.0,800.0,True
